timestamp,source_ip,destination_ip,domain,alert_type,bytes_sent,bytes_recv,packets
2026-03-20T08:00:01,10.0.0.5,192.168.1.1,,Port Scan,80,0,2500
2026-03-20T08:00:02,10.0.0.5,192.168.1.2,,Port Scan,80,0,2500
2026-03-20T08:00:03,10.0.0.5,192.168.1.3,,Port Scan,80,0,2500
2026-03-20T08:00:04,10.0.0.5,192.168.1.4,,Port Scan,80,0,2500
2026-03-20T08:00:05,10.0.0.5,192.168.1.5,,Port Scan,80,0,2500
2026-03-20T08:01:00,10.0.0.10,203.0.113.50,,DDoS Flood,50000000,0,150000
2026-03-20T08:01:01,10.0.0.11,203.0.113.50,,DDoS Flood,50000000,0,150000
2026-03-20T08:01:02,10.0.0.12,203.0.113.50,,DDoS Flood,50000000,0,150000
2026-03-20T08:02:00,192.168.2.15,198.51.100.20,xk2mq9f.biz,Bot C2 Beacon,3000,2500,15
2026-03-20T08:02:30,192.168.2.15,198.51.100.20,xk2mq9f.biz,Bot C2 Beacon,3000,2500,15
2026-03-20T08:03:00,192.168.2.15,198.51.100.20,xk2mq9f.biz,Bot C2 Beacon,3000,2500,15
2026-03-20T08:04:00,172.16.0.50,185.220.101.5,,SSH Brute Force,15000,12000,40
2026-03-20T08:04:05,172.16.0.50,185.220.101.5,,SSH Brute Force,15000,12000,40
2026-03-20T08:04:10,172.16.0.50,185.220.101.5,,SSH Brute Force,15000,12000,40
2026-03-20T08:05:00,192.168.3.22,104.21.44.0,ransomware-c2.xyz,Ransomware Staging,600000,150000,50
2026-03-20T08:05:30,192.168.3.22,104.21.44.0,ransomware-c2.xyz,Ransomware Staging,600000,150000,50
2026-03-20T08:06:00,10.1.0.8,203.0.113.80,,DoS Flood,3500000,0,6000
2026-03-20T08:06:01,10.1.0.8,203.0.113.80,,DoS Flood,3500000,0,6000
2026-03-20T08:06:02,10.1.0.8,203.0.113.80,,DoS Flood,3500000,0,6000
2026-03-20T08:07:00,172.16.1.99,91.108.56.0,,FTP Brute Force,8000,7000,10
2026-03-20T08:07:05,172.16.1.99,91.108.56.0,,FTP Brute Force,8000,7000,10
2026-03-20T08:07:10,172.16.1.99,91.108.56.0,,FTP Brute Force,8000,7000,10
2026-03-20T08:08:00,192.168.4.10,8.8.8.8,heartbleed-test.io,Heartbleed Exploit,500,65000,8
2026-03-20T08:09:00,10.0.1.15,203.0.113.99,,Data Exfiltration,2500000,200,30
2026-03-20T08:09:30,10.0.1.15,203.0.113.99,,Data Exfiltration,2500000,200,30
2026-03-20T08:10:00,192.168.5.50,45.33.32.156,,Web Brute Force,50000,40000,800
2026-03-20T08:10:01,192.168.5.50,45.33.32.156,,Web Brute Force,50000,40000,800
2026-03-20T08:10:02,192.168.5.50,45.33.32.156,,Web Brute Force,50000,40000,800
